Designator,Mid X,Mid Y,Rotation,Layer
C100,40.7,-140.8,270.0,bottom
C101,202.0,-45.5,270.0,bottom
C102,316.3,-45.5,270.0,bottom
C103,228.8,-64.6,270.0,bottom
C104,114.5,-64.6,270.0,bottom
C105,313.9,-93.2,270.0,bottom
C106,192.5,-83.6,270.0,bottom
C107,78.3,-83.6,270.0,bottom
C108,224.1,-102.7,270.0,bottom
C109,109.8,-102.7,270.0,bottom
C110,49.6,-45.5,270.0,bottom
C111,290.1,-121.7,270.0,bottom
C113,168.7,-121.7,270.0,bottom
C115,52.0,-121.8,270.0,bottom
C14,198.0,-133.8,0.0,bottom
C17,178.4,-129.2,90.0,bottom
C18,183.6,-127.4,0.0,bottom
C19,95.8215,-51.153,270.0,bottom
C23,53.0305,-48.03,180.0,bottom
C24,49.9055,-50.03,180.0,bottom
C25,193.0,-128.0,0.0,bottom
C26,56.843,-53.0,0.0,bottom
C27,297.8,-111.6,0.0,bottom
C28,297.8,-114.11,0.0,bottom
C29,87.7,-45.5,270.0,bottom
C3,189.72,-128.0,0.0,bottom
C30,68.7,-45.5,270.0,bottom
C31,106.8,-45.5,270.0,bottom
C32,221.1,-45.5,270.0,bottom
C33,335.3,-45.5,270.0,bottom
C34,209.8,-64.6,270.0,bottom
C35,95.5,-64.6,270.0,bottom
C36,287.7,-83.6,270.0,bottom
C37,173.5,-83.6,270.0,bottom
C38,54.5,-83.6,270.0,bottom
C39,205.0,-102.7,270.0,bottom
C40,90.7,-102.7,270.0,bottom
C41,264.0,-121.7,270.0,bottom
C42,149.6,-121.7,270.0,bottom
C43,324.1,-140.8,270.0,bottom
C44,228.8,-140.8,270.0,bottom
C45,125.8,-45.5,270.0,bottom
C46,240.1,-45.5,270.0,bottom
C47,324.1,-64.6,270.0,bottom
C48,190.7,-64.6,270.0,bottom
C49,76.4,-64.6,270.0,bottom
C50,268.7,-83.6,270.0,bottom
C51,154.5,-83.6,270.0,bottom
C52,324.1,-102.7,270.0,bottom
C53,186.0,-102.7,270.0,bottom
C54,71.7,-102.7,270.0,bottom
C55,244.9,-121.7,270.0,bottom
C56,130.5,-121.7,270.0,bottom
C57,305.0,-140.8,270.0,bottom
C58,159.8,-140.8,270.0,bottom
C59,144.9,-45.5,270.0,bottom
C60,259.2,-45.5,270.0,bottom
C61,295.5,-64.6,270.0,bottom
C62,171.7,-64.6,270.0,bottom
C63,57.3,-64.6,270.0,bottom
C64,249.6,-83.6,270.0,bottom
C65,135.4,-83.6,270.0,bottom
C66,281.2,-102.7,270.0,bottom
C67,166.9,-102.7,270.0,bottom
C68,45.5,-102.7,270.0,bottom
C69,225.8,-121.7,270.0,bottom
C70,111.5,-121.7,270.0,bottom
C71,286.0,-140.8,270.0,bottom
C72,88.3,-140.8,270.0,bottom
C73,163.9,-45.5,270.0,bottom
C74,278.2,-45.5,270.0,bottom
C75,266.9,-64.6,270.0,bottom
C76,152.6,-64.6,270.0,bottom
C77,38.3,-64.6,270.0,bottom
C78,230.6,-83.6,270.0,bottom
C79,116.4,-83.6,270.0,bottom
C80,262.2,-102.7,270.0,bottom
C81,147.9,-102.7,270.0,bottom
C82,335.4,-121.7,270.0,bottom
C83,206.8,-121.7,270.0,bottom
C84,92.5,-121.7,270.0,bottom
C85,266.9,-140.8,270.0,bottom
C86,64.5,-140.8,270.0,bottom
C87,183.0,-45.5,270.0,bottom
C88,297.2,-45.5,270.0,bottom
C89,247.9,-64.6,270.0,bottom
C90,133.6,-64.6,270.0,bottom
C91,335.3,-83.6,270.0,bottom
C92,211.5,-83.6,270.0,bottom
C93,97.3,-83.6,270.0,bottom
C94,243.2,-102.8,270.0,bottom
C95,128.8,-102.7,270.0,bottom
C96,316.4,-121.7,270.0,bottom
C97,187.7,-121.72,270.0,bottom
C98,73.4,-121.7,270.0,bottom
C99,247.9,-140.8,270.0,bottom
D0_0,36.065,-44.191,90.0,bottom
D0_1,55.115,-44.191,90.0,bottom
D0_10,226.565,-44.191,90.0,bottom
D0_101,38.3165,-139.441,90.0,bottom
D0_102,62.129,-139.441,90.0,bottom
D0_103,85.9415,-139.441,90.0,bottom
D0_104,157.5435,-139.4895,90.0,bottom
D0_105,226.565,-139.441,90.0,bottom
D0_106,245.615,-139.441,90.0,bottom
D0_107,264.665,-139.441,90.0,bottom
D0_108,283.715,-139.441,90.0,bottom
D0_109,302.765,-139.441,90.0,bottom
D0_11,245.615,-44.191,90.0,bottom
D0_110,321.815,-139.441,90.0,bottom
D0_12,264.665,-44.191,90.0,bottom
D0_13,283.715,-44.191,90.0,bottom
D0_14,302.765,-44.191,90.0,bottom
D0_15,321.815,-44.191,90.0,bottom
D0_2,74.165,-44.191,90.0,bottom
D0_3,93.215,-44.191,90.0,bottom
D0_4,112.265,-44.191,90.0,bottom
D0_5,131.315,-44.191,90.0,bottom
D0_6,150.365,-44.191,90.0,bottom
D0_7,169.415,-44.191,90.0,bottom
D0_8,188.465,-44.191,90.0,bottom
D0_9,207.515,-44.191,90.0,bottom
D10,62.875,-47.0,180.0,top
D11,301.0,-66.1,0.0,top
D12,91.4,-85.075,180.0,top
D13,248.6,-104.2,0.0,top
D14,143.775,-123.2,180.0,top
D15,165.175,-142.275,0.0,top
D16,81.875,-46.975,180.0,top
D17,272.4,-66.1,0.0,top
D18,110.5,-85.1,180.0,top
D19,229.5,-104.2,0.0,top
D1_0,36.065,-63.241,90.0,bottom
D1_1,55.115,-63.241,90.0,bottom
D1_10,226.565,-63.241,90.0,bottom
D1_11,245.615,-63.241,90.0,bottom
D1_12,264.665,-63.241,90.0,bottom
D1_13,293.24,-63.241,90.0,bottom
D1_14,321.815,-63.241,90.0,bottom
D1_2,74.165,-63.241,90.0,bottom
D1_3,93.215,-63.241,90.0,bottom
D1_4,112.265,-63.241,90.0,bottom
D1_5,131.315,-63.241,90.0,bottom
D1_6,150.365,-63.241,90.0,bottom
D1_7,169.415,-63.241,90.0,bottom
D1_8,188.465,-63.241,90.0,bottom
D1_9,207.515,-63.241,90.0,bottom
D2,43.75,-47.0,180.0,top
D20,162.875,-123.2,180.0,top
D21,93.775,-142.275,0.0,top
D22,101.0,-47.0,180.0,top
D23,253.375,-66.075,0.0,top
D24,129.5,-85.1,180.0,top
D25,210.5,-104.2,0.0,top
D26,181.9,-123.2,180.0,top
D27,70.0,-142.275,0.0,top
D28,120.0,-47.0,180.0,top
D29,234.275,-66.075,0.0,top
D2_0,40.8275,-82.291,90.0,bottom
D2_1,64.64,-82.291,90.0,bottom
D2_10,236.09,-82.291,90.0,bottom
D2_11,255.14,-82.291,90.0,bottom
D2_12,274.19,-82.291,90.0,bottom
D2_13,300.259,-91.816,90.0,bottom
D2_14,321.815,-82.291,90.0,bottom
D2_2,83.69,-82.291,90.0,bottom
D2_3,102.75,-82.291,90.0,bottom
D2_4,121.79,-82.291,90.0,bottom
D2_5,140.84,-82.291,90.0,bottom
D2_6,159.89,-82.291,90.0,bottom
D2_7,178.94,-82.291,90.0,bottom
D2_8,197.99,-86.487,90.0,bottom
D2_9,217.04,-82.291,90.0,bottom
D3,43.2,-34.0,0.0,top
D30,148.6,-85.1,180.0,top
D31,191.4,-104.2,0.0,top
D32,201.0,-123.2,180.0,top
D33,46.125,-142.275,0.0,top
D34,139.1,-47.0,180.0,top
D35,215.275,-66.075,0.0,top
D36,167.6,-85.075,180.0,top
D37,172.4,-104.2,0.0,top
D38,219.975,-123.2,180.0,top
D3_0,43.079,-101.341,90.0,bottom
D3_1,69.4025,-101.341,90.0,bottom
D3_10,240.8525,-101.341,90.0,bottom
D3_11,259.9025,-101.341,90.0,bottom
D3_12,278.9525,-101.341,90.0,bottom
D3_13,321.815,-101.341,90.0,bottom
D3_2,88.4525,-101.341,90.0,bottom
D3_3,107.5025,-101.341,90.0,bottom
D3_4,126.5525,-101.341,90.0,bottom
D3_5,145.6025,-101.341,90.0,bottom
D3_6,164.592,-101.346,90.0,bottom
D3_7,183.7025,-101.341,90.0,bottom
D3_8,202.7525,-101.341,90.0,bottom
D3_9,221.8025,-101.341,90.0,bottom
D4,329.5,-66.075,0.0,top
D40,158.075,-47.0,180.0,top
D41,196.175,-66.075,0.0,top
D42,186.675,-85.075,180.0,top
D43,153.275,-104.175,0.0,top
D44,239.075,-123.2,180.0,top
D46,177.2,-47.0,180.0,top
D47,177.175,-66.075,0.0,top
D48,205.675,-85.075,180.0,top
D49,134.275,-104.175,0.0,top
D4_0,38.3165,-120.391,90.0,bottom
D4_1,59.8775,-120.391,90.0,bottom
D4_10,231.3275,-120.4,90.0,bottom
D4_11,250.3775,-120.391,90.0,bottom
D4_12,276.4415,-120.391,90.0,bottom
D4_13,302.765,-120.391,90.0,bottom
D4_14,321.815,-120.391,90.0,bottom
D4_2,78.9275,-120.391,90.0,bottom
D4_3,97.9775,-124.7775,90.0,bottom
D4_4,117.0,-120.4,90.0,bottom
D4_5,136.0775,-120.391,90.0,bottom
D4_6,155.1275,-120.391,90.0,bottom
D4_7,174.1775,-120.391,90.0,bottom
D4_8,193.2275,-120.391,90.0,bottom
